PONUMBERPREFIX,PONUMBER,VENDORCODE,ORDERTYPE,WORKFLOWSTATUS,REENCUMBER,ACQUNITIDS,SUBSCRIPTIONFROM,SUBSCRIPTIONTO,RENEWALDATE,ACQUISITIONMETHOD,PAYMENTSTATUS,REFERENCENO,ORDERFORMAT,REQUESTOR,Z68_OPEN_DATE,Z68_ORDER_DATE,QUANTITYX,LISTUNITPRICE,Z68_ORDER_STATUS_DATE_X,Z13_TITLE,AUTHOR,Z68_ISBN,Z68_MATERIAL_TYPE,notes
AC,20167,ACOPINIONARCHIVES,S,SV ,true,AC,20071201,20081130,20081001,P ,P,,EP,"Kasper, Michael",20071128,20071128,1,4050.00   ,20071128,OpinionArchives.,,,EP,"library note: Includes: NACLA, Commentary, CommonWeal, American Spectator, Harper's, NY Review of Books, National review, New repuiblic; Dissent & New Yorker / doubled in price for 2012 fund name: S-ELEC-2022 vendor note: direct subs 2020-"
AC,97349,ACE,S,SV ,true,AC,20130101,20991230,20131030,P ,P,RB805010001691658736,EJ,"Trumble, Paul M.",20120912,20120912,1,1047.00   ,20120912,Philosophy compass.,,1747-9991,EJ,library note: Online; new order after Wiley package cancellation in 2012 fund name: S-ELEC-2022 vendor note: begin 2013-
AC,26770,ACE,S,SV ,true,AC,20080101,20081231,20081001,P ,P,RB805010001555013450,EP,"Kimball, Susan J.",20080409,20080409,1,500.      ,20080409,MATH PACKAGE.,MATHEMATICAL SCIENCE PUBLISHERS.,,EP,library note: Online; journal package from Mathematical Science Publishers; 6 e-journals. No usage statistics available. fund name: S-MATH-2022
AC,26791,ACE,S,SV ,true,AC,20080101,20991231,20081031,P ,P,RB805010001086494309,EP,"Kimball, Susan J.",20080410,20080410,1,1800      ,20080410,AMERICAN SOCIETY FOR MICROBIOLOGY PACKAGE - ONLINE.,,,EP,library note: ASM Online package includes access to 11 titles fund name: S-BIOL-2022
AC,26829,ACE,S,SV ,true,AC,20080101,20991231,20081101,P ,P,RB805016801517606174,EJ,"Basler, Carleen R.",20080414,20080414,1,586.00    ,20080414,Latino studies.,,1476-3443,EJ,library note: online fund name: S-SOC-2022 vendor note: changed to ebsco 2019
AC,4408156X,ACE,S,SV ,true,AC,19970604,20991231,20070101,P ,P,RB805010001394260495,EJ,,19980423,20210715,1,254.00    ,20210715,Historia.,,0018-2311,EJ,library note: Online only fund name: S-CLASS-2022 vendor note: //Begin v.48 (1999)- and renew
AC,27362,ACMCARD,S,SV ,true,AC,20080501,20991231,20190415,P ,P,,DB,"Beebe, Jane A.",20080421,20080421,1,600       ,20080421,The jazz discography / Tom Lord.,"Lord, Tom.",,DB,library note: online; 3 simultan users; multi-user subs; only take credit card fund name: S-MUSIC-2022
AC,28224,ACPALGRAVE,S,SV ,true,AC,20080515,20991231,20090401,P ,P,,EB,"GROESBECK, MARGARET",20080507,20080507,1,1.00      ,20080507,The new Palgrave dictionary of economics online / [edited by Steven N. Durlauf and Lawrence E. Blume,,,EB,library note: Online w/ quarterly updates; Nerl discount but inv from Palgrave; upgraded to perpetual access in 2013; no invoice since 2014 (7/1/2019) e_note: Perpetual access fund name: S-REFELE-2022
AC,29216,ACE,S,SV ,true,AC,20080101,20991231,20081101,P ,P,RB805010001394848024,EJ,"Trumble, Paul M.",20080520,20080520,1,42.00     ,20080520,Historical reflections = Réflexions historiques.,,1939-2419,EJ,library note: online fund name: S-HIST-2022
AC,29214,ACNERL,S,SV ,true,AC,20080101,20991231,20081201,P ,P,,DB,"GROESBECK, MARGARET",20081015,20081015,1,1420.00   ,20081015,Oxford dictionaries.,,,DB,library note: Online; unlimited users  7/2011 NYLINK to NERL fund name: S-REFELE-2022 vendor note: 2008+
AC,44288438,ACANNUALREVIEWS,S,SV ,true,AC,19990901,20991231,20070101,P ,P,,EJ,"Kimball, Susan J.",19990901,19990901,1,200       ,20020319,Annual review of biophysics.,,1936-1238,EJ,library note: Online fund name: S-CHEM-2022 vendor note: //Begin Sept. 1999- and renew
AC,29465,ACE,S,SV ,true,AC,20080521,20991231,20081030,P ,P,RB805016801617065678,EJ,"Kimball, Susan J.",20080522,20080522,1,2714.00   ,20080522,Nature reviews. Neuroscience.,,1471-0048,EJ,library note: Online fund name: S-NEURO-2022 vendor note: changed to EBSCO 2019
AC,29487,ACREADX,S,SV ,true,AC,20090601,20991231,20090501,P ,P,,DB,,20080522,20080522,1,470       ,20080522,Foreign Broadcast Information Service (FBIS) daily reports.,,,DB,library note: Annual maintenance fee fund name: S-ELEC-2022
AC,29495,ACRSC,S,SV ,true,AC,20080101,20991231,20081101,P ,P,,EP,,20080522,20080522,1,270       ,20080522,ROYAL SOCIETY OF CHEMISTRY JOURNALS ARCHIVE.,,,EP,library note: online; Annual maintenance fee (charge based on 4 college participation) fund name: S-CHEM-2022 vendor note: TomDayRCS@aol.com  Tom Day
AC,28692,ACPROQU,S,SV ,true,AC,0,0,0,P ,P,,DB,"Kasper, Michael",20080512,20080512,1,450       ,20080512,African writers series.,,,DB,library note: annual maintenance fee fund name: S-ELEC-2022 vendor note: 2008-
AC,29779,ACE,S,SV ,true,AC,20080101,20991231,20881031,P ,P,RB805010001290444034,EJ,"Trumble, Paul M.",20080529,20080529,1,200.00    ,20080529,Economic and political weekly.,,,EJ,library note: Online (2012 review) fund name: S-POLI-2022
AC,30302,ACNERL,S,SV ,true,AC,20080701,20991231,20081201,P ,P,,DB,"GROESBECK, MARGARET",20080611,20201015,1,1542.00   ,20201015,Library of Latin texts.,,,DB,library note: Online; 2021 LLT A will be combined with LLT B; Brepols no longer offers individual subscriptions to A + B fund name: S-ELEC-2022
AC,30413,ACE,S,SV ,true,AC,20080101,20991231,20081101,P ,P,RB805010001462174970,EJ,"Beebe, Jane A.",20080616,20080616,1,200.00    ,20080616,Jazz perspectives.,,1749-4079,EJ,library note: Online fund name: S-MUSIC-2022
AC,44081625,ACE-DAT,S,SV ,true,AC,19970422,20991231,20070101,P ,P,,DB,,19980423,19980423,1,4250.00   ,20050929,Historical abstracts with full text.,,1528-3445,DB,library note: upgraded to incl. full-text fund name: S-REFELE-2022 vendor note: //Begin 1998- and renew
AC,30710,ACE-DAT,S,SV ,true,AC,20080801,20991231,20081130,P ,P,,DB,"GROESBECK, MARGARET",20080620,20080620,1,75.00     ,20080620,"Book review digest retrospective, 1908-1982 (H.W. Wilson).",,,DB,library note: Annual access fee (now EBSCO not Wilson) fund name: S-REFELE-2022
AC,30787,ACE-DAT,S,SV ,true,AC,20080901,20991231,20090901,P ,P,,DB,"GROESBECK, MARGARET",20080624,20080624,1,1900      ,20080624,Book review digest plus (H.W. Wilson).,,,DB,library note: 1983- current (vendor now EBSCOnot Wilson) fund name: S-REFELE-2022
AC,172402,ACAMDIGITAL,S,SV ,true,AC,20190101,20991231,0,P ,P,,DB,"Trumble, Paul M.",20180711,20180711,1,1755.00   ,20180711,"Slavery, abolition & social justice.",,,DB,library note: online 5 year hosting fee; Publisher invoices once every 5 years fund name: S-ELEC-2022
AC,30985,ACE,S,SV ,true,AC,20080101,20991231,20881101,P ,P,RB805016801123703076,EJ,"Sitze, Adam",20080716,20080716,1,390.00    ,20080716,BioSocieties.,,1745-8560,EJ,library note: online fund name: S-LAW-2022 vendor note: changed to ebsco 2019
AC,31413,ACM-C,O,SV ,true,AC,20170531,20991231,0,P ,P,,M ,"Sheridan, Susan M.",20170531,20170531,1,200.00    ,20170531,The Oxford history of literary translation in English / edited by Stuart Gillespie and David Hopkins,,,M ,fund name: F-SO-2022 vendor note: v.5+
AC,31868,ACMWT,O,SV ,true,AC,0,0,0,PC,P,,V ,"Sheridan, Susan M.",20080801,20080801,1,,20080801,ECLIPSE SERIES [VIDEORECORDING].,,,V ,"library note: subseries that comes on so for Criterion Collection (title), pay on po# 18626 fund name: F-NONPRINT-2011 vendor note: Eclipse series # 7 +  included on Criterion collection so"
AC,32304,ACALEXA,S,SV ,true,AC,20080901,20991231,20090801,CW,P,,DB,"Beebe, Jane A.",20080811,20080811,1,0.00      ,20080811,Music online. African American music reference.,,,DB,library note: online; c/w Music and Dance Online; po 167746 fund name: S-ELEC-2022
AC,32310,ACALEXA,S,SV ,true,AC,20080901,20991231,20090801,CW,P,,SA,"Beebe, Jane A.",20080811,20080811,1,0         ,20080811,Music online. American music.,,,SA,library note: online; c/w Music and Dance Online; po 167746 fund name: S-ELEC-2022
AC,32314,ACALEXA,S,SV ,true,AC,20080901,20991231,20090801,CW,P,,ES,"Beebe, Jane A.",20080811,20080811,1,0         ,20080811,Music online. Classical scores library.,,,ES,library note: online; c/w Music and Dance Online; po 167746 - with upgrade now have access to v.1-4 (previously just v.1) fund name: S-ELEC-2022
AC,32318,ACALEXA,S,SV ,true,AC,20080901,20991231,20090801,CW,P,,DB,"Beebe, Jane A.",20080811,20080811,1,0         ,20080811,Music online. Classical music reference library.,,,DB,library note: online; c/w Music and Dance Online; po 167746 fund name: S-ELEC-2022
AC,32321,ACALEXA,S,SV ,true,AC,20080901,20991231,20090801,CW,P,,SA,"Beebe, Jane A.",20080811,20080811,1,0         ,20080811,Music online. Contemporary world music.,,,SA,library note: online; c/w Music and Dance Online; po 167746 fund name: S-ELEC-2022
AC,142875,ACALEXA,S,SV ,true,AC,20080901,20991231,20090801,CW,P,,EB,"Beebe, Jane A.",20160307,20160307,1,0         ,20160307,"Music online. Garland encyclopedia of world music / [Advisory editors, Bruno Nettl and Ruth Stone ;",,,EB,library note: online; c/w Music and Dance Online; po 167746 fund name: S-ELEC-2022
AC,32467,ACE,S,SV ,true,AC,20080901,20991231,20090801,CW,P,RB805010001163170354,EJ,"Courtright, Nicola M.",20080812,20131119,1,0         ,20131119,CAA.reviews.,,1543-950X,EJ,library note: online subs; see membership ILS: 44051736; CAA ID Number: 002706 fund name: S-ART-2012
AC,44081480,ACE,S,SV ,true,AC,19950927,20991231,20070101,P ,P,RB805010001391232010,EJ,,19980422,20210715,1,160.29    ,20210715,Hermes.,,0018-0777,EJ,library note: Online fund name: S-CLASS-2022 vendor note: //Begin issues published 1999- and renew
AC,33416,ACE,S,SV ,true,AC,20090101,20991231,20091101,P ,P,RB805016801617048724,EJ,"Kimball, Susan J.",20080910,20080910,1,3656.00   ,20080910,Nature physics.,,1745-2481,EJ,library note: online fund name: S-PHYSIC-2022 vendor note: changed to EBSCO 2019
AC,33483,ACYSO,S,SV ,true,AC,20080101,20991231,20081201,CW,P,,EJ,,20080915,20080915,1,,20080915,Cold Spring Harbor symposia on quantitative biology : [proceedings].,,1943-4456,EJ,"library note: P+O subs; print vols are cat.sep., handled in ACQ (Aleph #004473688) fund name: S-BIOL-2022"
AC,44555209,ACE,S,SV ,true,AC,20010726,20991231,20070101,P ,P,RB805010001395492556,EJ,,20010726,20010726,1,282.00    ,20050720,History of political thought.,,2051-2988,EJ,library note: online fund name: S-POLI-2022 vendor note: //begin 2001-
AC,34000,ACOUP,S,SV ,true,AC,20081001,20991231,20090901,P ,P,,DB,"GROESBECK, MARGARET",20080924,20090715,1,1990      ,20090715,Electronic enlightenment.,,,DB,library note: Online fund name: S-ELEC-2022
AC,34006,ACE,S,SV ,true,AC,20090101,20991231,20091031,P ,P,RB805010001789177284,EP,,20080925,20080925,1,21670.43  ,20080925,ROYAL SOCIETY PACKAGE S.,,,EP,"library note: Online (package S incl. 7 titles): Biol Letters; Jrnl of the RS interface, Notes & records; Phil Trans. Biol; Phil Trans Math Phys.; Proc. Biol; Proc. Math Phys. fund name: S-ELEC-2022"
AC,122834,ACFRONT,O,SV ,true,AC,0,0,0,P ,P,,M ,"Beebe, Jane A.",20140815,20140815,1,90.00     ,20140815,The complete works / Carl Philipp Emanuel Bach.,"Bach, Carl Philipp Emanuel, 1714-1788.",9781933280554 (ser.,M ,fund name: F-SO-2022 vendor note: Ser. I-
AC,34405,ACE,S,SV ,true,AC,20130101,20991231,20131101,P ,P,RB805010001437035017,EJ,,20081007,20130725,1,700.00    ,20130725,International affairs.,,1938-2588,EJ,library note: online fund name: S-POLI-2022
AC,45206508,ACM-C,O,SV ,true,AC,20051008,20991231,0,C ,P,,M ,"Doran, Robert",20051007,20071011,1,100.00    ,20071011,BIBLIA HEBRAICA QUINTA.,,,M ,library note: cat sep class together BS 715 2004 fasc___ fund name: F-SO-2016 vendor note: standing order
AC,34756,ACYSO,O,SV ,true,AC,20081015,20991230,0,P ,P,S8083132,M ,"BELT, EDWARD S",20081015,20081020,1,30.00     ,20081020,BULLETIN OF THE CARNEGIE MUSEUM OF NATURAL HISTORY.,Carnegie Museum of Natural History.,,M ,library note: cat sep monographs - New title with BNA fund name: F-GEN-2011 vendor note: v.39 + standing order
AC,35203,ACE,S,SV ,true,AC,20080101,20991231,20081101,P ,P,RB805010001695669337,EJ,,20081023,20081023,1,600.00    ,20081023,Physics today.,,1945-0699,EJ,library note: 2019 = online only; P+O subs was cancelled fund name: S-PHYSIC-2022
AC,35365,ACE,S,SV ,true,AC,19990101,20991231,20081101,P ,P,RB805010001815740295,S ,"Bosman, Anston L.",20081027,20081027,1,90        ,20081027,The Shakespearean international yearbook.,,1465-5098,S ,library note: Print fund name: F-GEN-2022 vendor note: begin v.8- and renew
AC,35376,ACEAST,S,SV ,true,AC,20090101,20991231,20091030,P ,P,,S ,"Morse, Samuel C.",20081027,20081027,1,100       ,20081027,Tōkyōjin.,,0912-0173,S ,library note: Print fund name: S-ASIAN-2022 vendor note: begin 2009- and renew
AC,35383,ACE,S,SV ,true,AC,20000101,20991231,20081101,P ,P,RB805010001044332110,EJ,,20081028,20081028,1,222.00    ,20081028,The American journal of science.,,1945-452X,EJ,library note: Online (2012 review) fund name: S-GEOL-2022
AC,45721,ACE,S,SV ,true,AC,20000101,20991231,20091101,P ,P,RB805010001476336009,EJ,,20090601,20090601,1,60.00     ,20090601,Journal of economic issues.,,1946-326X,EJ,library note: Online fund name: S-ECON-2022
AC,90527,ACE,S,SV ,true,AC,20140101,20991231,20141101,P ,P,RB805010001804224008,EJ,"Trumble, Paul M.",20120403,20120403,1,60.00     ,20120403,Science-fiction studies.,,2327-6207,EJ,library note: online fund name: S-ELEC-2022 vendor note: begin 2014-
AC,36222,ACITER,S,SV ,true,AC,20000101,20991231,20091101,CW,P,,DB,,20081114,20081114,1,,20081114,Iter Italicum.,,,DB,library note: Online; c/w: ITER fund name: S-REFELE-2022
AC,36223,ACITER,S,SV ,true,AC,20000101,20991231,20091101,CW,P,,DB,,20081114,20081114,1,,20081114,Iter bibliography.,,,DB,library note: Online; c/w: ITER fund name: S-REFELE-2022
AC,166487,ACGEOSCIENCEWORLD,S,SV ,true,AC,20160101,20991231,0,P ,P,,EK,"Trumble, Paul M.",20171214,20171214,1,4283.00   ,20171214,GeoScienceWorld.,,,EK,"library note: annual ""one-time"" purchase of yearly eBook coll. 2018+ ; if Amherst cancels annual one-time purchase of eBook collections, GSW will stary charging an annual hosting fee fund name: S-ELEC-2022 vendor note: 2018+"
AC,36584,ACE,S,SV ,true,AC,20090101,20991231,20091101,P ,P,RB805016801367208488,DB,"Kimball, Susan J.",20081121,20081121,1,7056.00   ,20081121,GeoScienceWorld.,,,DB,library note: Journals Collection only; package transferred to EBSCO in 2019 fund name: S-ELEC-2022 vendor note: moved to ebsco in 2019; NERL consortia only
AC,36713,ACYSO,O,SV ,true,AC,0,20991230,0,C ,P,S7205724,M ,"Sheridan, Susan M",20081122,20100503,1,55.00     ,20100503,ILAN STAVANS LIBRARY OF LATINO CIVILIZATION.,"Stavans, Ilan.",1938-615X,M ,fund name: F-SO-2022
AC,35434,ACEASTVIEW,O,SV ,true,AC,0,0,0,P ,P,,M ,"Taubman, William C. (Bill)",20081029,20081029,1,65.       ,20081029,"Sobranie sochineniĭ / Mikhail Sergeevich Gorbachev ; sostavlenie, redakt͡sii͡a, ukazatelʹ imen,","Gorbachev, Mikhail Sergeevich, 1931- author. Горбачев, Михаил Сергеевич, 1931",,M ,library note: RUSH fund name: F-SO-2022 vendor note: Tom 1 +  until complete
AC,40212,ACE,S,SV ,true,AC,20090101,20991231,20091101,P ,P,RB805010001046666009,EJ,,20090209,20090209,1,330.00    ,20090209,American philosophical quarterly.,,2152-1123,EJ,library note: Online fund name: S-PHIL-2022 vendor note: online only 2011-
AC,38212,ACE,S,SV ,true,AC,20000101,20991231,20091101,P ,P,RB805010001824865633,EJ,,20081231,20081231,1,60.00     ,20081231,Social sciences in China.,,1940-5952,EJ,library note: Online fund name: S-ASIAN-2022
AC,38213,ACE,S,SV ,true,AC,20000101,20991231,20091101,P ,P,RB805010001042276010,EJ,,20081231,20081231,1,257.99    ,20081231,American Indian culture and research journal.,,,EJ,library note: online fund name: S-ENG-2022
AC,38330,ACEAST,S,SV ,true,AC,20000101,20991231,20091101,P ,P,RB805010001284137833,EJ,,20090106,20090106,1,210       ,20090106,Druzhba narodov.,,,EJ,library note: online fund name: S-RUSS-2022
AC,162593,ACEAST,S,SV ,true,AC,20180101,20991231,0,P ,P,,EJ,,20170926,20170926,1,22.50     ,20170926,Literaturnai͡a gazeta : organ Pravlenii͡a Soi͡uza sovetskikh pisateleĭ SSSR.,,0233-4305,EJ,library note: maintenance fee for canc subs in 2017; PO provides archival access 2008-2017 fund name: S-ELEC-2022
AC,162594,ACEAST,S,SV ,true,AC,20180101,20991231,0,P ,P,,EJ,,20170926,20170926,1,21.20     ,20170926,Neva : organ Soi͡uza sovetskikh pisateleĭ SSSR.,,,EJ,library note: maintenance fee for canc subs in 2017; PO provides archival access 2008-2017 fund name: S-ELEC-2022
AC,38334,ACEAST,S,SV ,true,AC,20000101,20991231,20091101,P ,P,RB805010001658025002,EJ,,20090106,20090106,1,,20090106,Okti͡abrʹ.,,,EJ,library note: online fund name: S-RUSS-2022
AC,38336,ACEAST,S,SV ,true,AC,20000101,20991231,20091101,P ,P,RB805010001655632008,EJ,,20090106,20090106,1,350       ,20090106,Ogonek.,,0030-0721,EJ,library note: online maintenance fee ; Title ceased publication must pay annual maintenance fee to retain archival access fund name: S-RUSS-2022
AC,38340,ACEAST,S,SV ,true,AC,20000101,20991231,20091101,P ,P,RB805010001981337009,EJ,,20090106,20090106,1,,20090106,Znami͡a.,,,EJ,library note: Online fund name: S-RUSS-2022
AC,38344,ACEAST,S,SV ,true,AC,20000101,20991231,20091101,P ,P,,EJ,"Rabinowitz, Stanley J.",20090106,20090106,1,175.00    ,20090106,Iskusstvo kino.,,,EJ,library note: Online subs (EastView) fund name: S-ELEC-2022
AC,38345,ACEAST,S,SV ,true,AC,20000101,20991231,20091101,P ,P,,EJ,"Rabinowitz, Stanley J.",20090106,20090106,1,111.00    ,20090106,Russkai͡a literatura.,,,EJ,library note: Online subs (EastView); print canc; fund name: S-ELEC-2022
AC,38513,ACE,S,SV ,true,AC,20000101,20991231,20091101,P ,P,RB805010001868644360,EJ,,20090108,20090108,1,210.00    ,20090108,Svobodnai͡a myslʹ.,,,EJ,library note: Online (2012 review) fund name: S-POLI-2022
AC,39155,ACYSO,O,SV ,true,AC,0,0,0,P ,P,S1205758,M ,,20090122,20090122,1,100.00    ,20090122,DEVELOPMENT IN THE AMERICAS.,,,M ,library note: ACQ cat sep fund name: F-SO-2022 vendor note: begin with 2008+
AC,44102835,ACE,S,SV ,true,AC,19950501,20991231,20070101,P ,P,RB805010001565899003,EJ,,19980601,19980601,1,85.00     ,20051213,Mercury / Astronomical Society of the Pacific.,,2373-2857,EJ,library note:  Online fund name: S-ASTRO-2022 vendor note: //Begin issues published 1999- and renew
AC,44110911,ACE,S,SV ,true,AC,19950927,20991231,20070101,P ,P,RB805010001691004005,EJ,,19980619,19980619,1,265.00    ,20051121,Philologus.,,0031-7985,EJ,library note: P+O; invoicing see online PO 44110911 fund name: S-CLASS-2022 vendor note: //Begin v.143 (1999)- and renew
AC,39852,ACMCARD,S,SV ,true,AC,20090316,20991231,20100201,P ,P,swipe creditc x 2,DB,"Behrens, Janna K.",20090202,20090202,1,1900.00   ,20090202,Uniworld online.,,,DB,library note: negotiated disc. based on FTE; Career Ctr request fund name: S-ELEC-2022 vendor note: 2 subs. / Am firms in foreign countries /  Foreign firms in US
AC,44114631,ACE,S,SV ,true,AC,19950928,20991231,20070101,P ,P,RB805010001741213037,EJ,,19980626,19980626,1,10.00     ,20051213,Quaderni urbinati di cultura classica.,,0033-4987,EJ,library note: P+O; invoicing see online PO 44114631 fund name: S-CLASS-2022 vendor note: //Begin Nuova series v.58- and renew
AC,40211,ACE,S,SV ,true,AC,20090101,20991231,20091101,P ,P,RB805010001787128013,EJ,,20090209,20090209,1,219.00    ,20090209,Romance philology.,,2295-9017,EJ,library note: Online (2012 review) fund name: S-FREN-2022
AC,44042930,ACE,S,SV ,true,AC,19990326,20991231,20070101,P ,P,RB805010001553618665,EJ,,19980206,20210716,1,400.00    ,20210716,Materiali e discussioni per l'analisi dei testi classici.,,0392-6338,EJ,library note: P+O; invoicing see online PO 44042930 fund name: S-CLASS-2022 vendor note: //Begin with issues published 1998- and renew
AC,40308,ACE,S,SV ,true,AC,20080101,20991231,20091101,P ,P,RB805010001395125013,EJ,,20090211,20090211,1,950       ,20090211,Historische Zeitschrift.,,0018-2613,EJ,library note: online fund name: S-HIST-2022
AC,40426,ACE,S,SV ,true,AC,20000101,20991231,20090101,P ,P,RB805010001054766000,EJ,,20090212,20090212,1,250.00    ,20090212,Anglia.,,1865-8938,EJ,library note: online fund name: S-ENG-2022
